"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test with steps","This will create new Category","SUCCESS","2022-01-09T12:09:58.959Z[Europe/London]","0.0","6.14"
"Categories CRUD test with steps","Verify if the Category was created in application","SUCCESS","2022-01-09T12:10:05.161Z[Europe/London]","0.0","1.41"
"Categories CRUD test with steps","Update Category information and verify the updated information","SUCCESS","2022-01-09T12:10:06.577Z[Europe/London]","0.0","0.37"
"Categories CRUD test with steps","Delete Category and verify if the Category is deleted","SUCCESS","2022-01-09T12:10:06.948Z[Europe/London]","0.0","0.83"
"Products CRUD test with steps","This will create a new Product","SUCCESS","2022-01-09T12:10:11.293Z[Europe/London]","0.0","0.21"
"Products CRUD test with steps","Verify that Product was added to the application","SUCCESS","2022-01-09T12:10:11.508Z[Europe/London]","0.0","3.68"
"Products CRUD test with steps","Update the Product information and verify the updated information","SUCCESS","2022-01-09T12:10:15.195Z[Europe/London]","0.0","0.52"
"Products CRUD test with steps","Delete the Product and verify if the Product is deleted!","SUCCESS","2022-01-09T12:10:15.718Z[Europe/London]","0.0","0.09"
"Services CRUD test with steps","This will create new Service","SUCCESS","2022-01-09T12:10:15.932Z[Europe/London]","0.0","0.1"
"Services CRUD test with steps","Verify if the Service was created in application","SUCCESS","2022-01-09T12:10:16.037Z[Europe/London]","0.0","0.06"
"Services CRUD test with steps","Update Service information and verify the updated information","SUCCESS","2022-01-09T12:10:16.094Z[Europe/London]","0.0","0.13"
"Services CRUD test with steps","Delete Service and verify if the Service is deleted","SUCCESS","2022-01-09T12:10:16.224Z[Europe/London]","0.0","0.3"
"Stores CRUD test with steps","This will create new store","SUCCESS","2022-01-09T12:10:16.648Z[Europe/London]","0.0","0.13"
"Stores CRUD test with steps","Verify if the store was created in application","SUCCESS","2022-01-09T12:10:16.785Z[Europe/London]","0.0","0.21"
"Stores CRUD test with steps","Update store information and verify the updated information","SUCCESS","2022-01-09T12:10:16.992Z[Europe/London]","0.0","0.26"
"Stores CRUD test with steps","Delete store and verify if the product is deleted","SUCCESS","2022-01-09T12:10:17.252Z[Europe/London]","0.0","0.15"
